timestamp,age_range,gender,country,referral_source,years_experience,track_applied,weekly_commitment_hours,main_aim,motivation,skill_level,aptitude_test_completed,total_score,graduated
2024-12-03 16:47:48,25-34 years,Female,Kenya,Twitter,6 months - 1 year,Data science,more than 14 hours,Portfolio,To pivot to a Data Science career either by employment or freelance,Elementary,Yes,76.0,Yes
2024-12-02 23:59:16,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,more than 14 hours,Upskill,My motivation to join the program stem from my passion for leveraging data to solve real-world problems and my desire to develop a strong foundation in data science. I see this program as a chance to gain hands on experience with real-world projects.,Elementary,Yes,60.0,No
2024-12-03 14:19:12,25-34 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Upskill,Become a good data scientist and be able to work in freelance or in a company.,Beginner,Yes,64.0,No
2024-11-27 11:25:40,25-34 years,Male,Kenya,WhatsApp,6 months - 1 year,Data science,more than 14 hours,Learn afresh,To learn more about data and change my profession to be a data scientist,Elementary,Yes,78.33,No
2024-11-28 09:11:46,18-24 years,Male,Kenya,LinkedIn,Less than six months,Data science,less than 6 hours,Portfolio,"Desire to know more, grow and make an impact.",Beginner,Yes,67.0,No
2024-12-03 11:18:47,25-34 years,Male,Kenya,WhatsApp,Less than six months,Data science,more than 14 hours,Upskill,"I am thrilled to join the program so that I can upscale my skills in data analytics. With my experience in analytics, system administration and software development, I aim to enhance my technical proficiency, tackle real-world data challenges",Elementary,Yes,64.67,No
2024-11-27 09:19:48,18-24 years,Male,Kenya,LinkedIn,Less than six months,Data science,7-14 hours,Upskill,I am passionate to unskilled my passion for data science as the world is evolving to tech,Elementary,Yes,58.33,Yes
2024-11-28 20:17:51,25-34 years,Male,Kenya,Twitter,6 months - 1 year,Data analysis,more than 14 hours,Upskill,Leaening with more experinced and mentors is a great opportunity,Intermediate,Yes,73.0,Yes
2024-12-02 23:06:17,25-34 years,Female,Kenya,WhatsApp,Less than six months,Data science,more than 14 hours,Portfolio,"I am interested in learning AI, ML at a much deeper level than has been taught to me in my engineering course. I have projects I would like to begin, like using AI to assist in electrical engineering design. I'm confident in my ability to learn fast.",Elementary,Yes,79.67,No
2024-12-02 13:33:40,25-34 years,Male,Kenya,Twitter,Less than six months,Data science,7-14 hours,Upskill,I need to get a job,Elementary,Yes,70.67,No
2024-12-03 07:07:40,18-24 years,Female,Kenya,WhatsApp,1-3 years,Data science,7-14 hours,Portfolio,I am passionate about data for health care and I am looking into pivoting into the field,Intermediate,Yes,82.33,No
2024-12-02 16:35:54,25-34 years,Male,Kenya,LinkedIn,Less than six months,Data science,more than 14 hours,Upskill,Connect with fellow data Professionals,Beginner,Yes,67.0,No
2024-11-28 16:27:08,18-24 years,Male,Kenya,LinkedIn,6 months - 1 year,Data analysis,more than 14 hours,Upskill,To get an opportunity to advance in my career as I also sharpen my skills,Elementary,Yes,79.5,No
2024-12-03 12:59:55,25-34 years,Male,South Africa,WhatsApp,Less than six months,Data science,7-14 hours,Portfolio,"I’m excited to join the Everything Data mentorship program to expand my knowledge in data science. With my background in web development and cloud services, I’m eager to learn how to integrate data-driven insights into my projects and grow my skills",Beginner,No,76.67,No
2024-11-27 10:19:12,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Portfolio,Getting access to better training and understanding matters to do with Data Science.,Elementary,Yes,80.0,No
2024-11-28 19:57:13,25-34 years,Male,Kenya,Twitter,1-3 years,Data science,7-14 hours,Upskill,I would like to pursue a career as a data scientist and help organizations make data driven decisions,Elementary,Yes,74.33,No
2024-12-03 13:30:40,25-34 years,Female,Kenya,Word of mouth,Less than six months,Data science,less than 6 hours,Upskill,"I would like to be a part of the global shift towards a data driven era, of informed decision-making, problem-solving, and impactful operations.
I am intrigued too by the fact that, data science is not only intellectually rewarding but versatile too.",Beginner,Yes,59.67,No
2024-11-27 17:00:08,25-34 years,Male,Kenya,Twitter,1-3 years,Data science,7-14 hours,Upskill,I am motivated by the fact that this opportunity will enable me upskill and lead me toward realising my career goals,Intermediate,Yes,68.67,No
2024-12-02 18:02:53,25-34 years,Male,Kenya,Twitter,6 months - 1 year,Data science,7-14 hours,Upskill,I want to be part of a community,Elementary,Yes,81.5,No
2024-12-03 12:39:32,45-54 years,Female,Kenya,WhatsApp,Less than six months,Data science,more than 14 hours,Upskill,Desire to upgrade and learn more,Beginner,Yes,73.33,No
2024-12-03 16:53:38,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Learn afresh,I am eager to learn data science. I have a very big interest in it and I am ready to commit to learning it.,Beginner,Yes,68.67,No
2024-12-01 22:16:29,25-34 years,Male,Kenya,Word of mouth,Less than six months,Data science,7-14 hours,Learn afresh,I would like to pivot from the healthcare career path and merge it with data skills.,Beginner,Yes,83.0,Yes
2024-12-02 13:45:42,25-34 years,Male,Kenya,WhatsApp,6 months - 1 year,Data science,7-14 hours,Networking,The opportunity to link with other people in the same field; get to learn on how the best in the field actually do it; hopefully get a job,Elementary,Yes,68.67,Yes
2024-12-02 14:45:22,18-24 years,Female,Kenya,WhatsApp,6 months - 1 year,Data science,more than 14 hours,Upskill,"I’m motivated to enhance my skills in data science, Python, and visualization while gaining practical insights from experienced mentors. This program will help me build a strong foundation and connect with like minded professionals.",Elementary,Yes,64.67,Yes
