iter	Passed	Remaining
407	6566	9527
408	6587	9519
409	6616	9520
410	6644	9521
411	6670	9520
412	6679	9493
413	6708	9496
414	6714	9465
415	6738	9459
416	6759	9450
417	6779	9439
418	6790	9415
419	6810	9405
420	6833	9397
421	6846	9376
422	6867	9367
423	6886	9354
424	6907	9345
425	6931	9339
426	6953	9330
427	6975	9322
428	6991	9305
429	7012	9295
430	7036	9289
431	7058	9280
432	7078	9269
433	7098	9257
434	7118	9246
435	7139	9234
436	7158	9222
437	7172	9202
438	7182	9178
439	7198	9161
440	7217	9149
441	7237	9136
442	7256	9124
443	7275	9111
444	7283	9083
445	7298	9065
446	7317	9052
447	7336	9039
448	7356	9027
449	7378	9017
450	7402	9011
451	7425	9002
452	7447	8992
453	7471	8984
454	7493	8975
455	7515	8965
456	7530	8947
457	7552	8938
458	7574	8927
459	7587	8907
460	7592	8877
461	7611	8863
462	7630	8850
463	7649	8836
464	7657	8810
465	7677	8797
466	7696	8784
467	7716	8771
468	7736	8759
469	7746	8735
470	7762	8718
471	7781	8705
472	7801	8691
473	7820	8678
474	7839	8664
475	7858	8650
476	7877	8636
477	7896	8623
478	7911	8605
479	7916	8576
480	7935	8562
481	7955	8549
482	7970	8531
483	7986	8514
484	8005	8500
485	8024	8486
486	8043	8472
487	8061	8458
488	8074	8437
489	8092	8423
490	8100	8397
491	8119	8383
492	8137	8368
493	8156	8354
494	8175	8340
495	8193	8326
496	8212	8311
497	8227	8293
498	8246	8279
499	8257	8257
500	8268	8235
501	8287	8221
502	8305	8206
503	8323	8191
504	8341	8176
505	8359	8161
506	8378	8146
507	8396	8132
508	8415	8117
509	8427	8097
510	8449	8085
511	8453	8057
512	8471	8042
513	8489	8027
514	8502	8007
515	8512	7984
516	8530	7969
517	8550	7955
518	8554	7928
519	8572	7913
520	8590	7898
521	8609	7883
522	8627	7868
523	8645	7853
524	8666	7841
525	8686	7827
526	8697	7806
527	8716	7791
528	8735	7777
529	8753	7762
530	8772	7748
531	8790	7733
532	8809	7718
533	8827	7703
534	8846	7688
535	8864	7673
536	8877	7653
537	8894	7637
538	8912	7622
539	8927	7604
540	8946	7590
541	8965	7575
542	8983	7560
543	8988	7534
544	9006	7518
545	9024	7503
546	9042	7488
547	9061	7473
548	9079	7458
549	9097	7443
550	9115	7427
551	9133	7412
552	9152	7397
553	9170	7382
554	9188	7367
555	9206	7352
556	9230	7341
557	9252	7328
558	9275	7317
559	9294	7303
560	9316	7290
561	9338	7278
562	9361	7266
563	9370	7243
564	9393	7231
565	9416	7220
566	9439	7208
567	9459	7194
568	9472	7175
569	9490	7159
570	9510	7145
571	9520	7123
572	9538	7108
573	9548	7086
574	9567	7071
575	9579	7051
576	9598	7036
577	9617	7021
578	9627	7000
579	9638	6979
580	9642	6954
581	9662	6939
582	9683	6926
583	9702	6911
584	9721	6896
585	9739	6880
586	9757	6865
587	9776	6850
588	9794	6834
589	9812	6818
590	9830	6803
591	9848	6787
592	9866	6771
593	9884	6756
594	9902	6740
595	9920	6724
596	9938	6708
597	9956	6693
598	9975	6677
599	9993	6662
600	10011	6646
601	10028	6630
602	10033	6605
603	10051	6589
604	10071	6575
605	10091	6561
606	10113	6547
607	10134	6534
608	10158	6522
609	10182	6509
610	10205	6497
611	10229	6485
612	10250	6471
613	10274	6459
614	10293	6444
615	10312	6428
616	10330	6412
617	10348	6396
618	10367	6381
619	10385	6365
620	10404	6349
621	10420	6332
622	10438	6316
623	10456	6300
624	10474	6284
625	10492	6268
626	10510	6252
627	10528	6236
628	10535	6214
629	10553	6198
630	10572	6182
631	10591	6166
632	10604	6148
633	10614	6127
634	10632	6111
635	10650	6095
636	10670	6080
637	10688	6064
638	10706	6048
639	10725	6032
640	10740	6015
641	10756	5998
642	10774	5982
643	10792	5966
644	10811	5950
645	10816	5927
646	10834	5911
647	10852	5895
648	10870	5878
649	10877	5857
650	10894	5840
651	10912	5824
652	10925	5805
653	10943	5789
654	10958	5772
655	10976	5755
656	10995	5740
657	11013	5724
658	11031	5708
659	11049	5692
660	11067	5676
661	11086	5660
662	11104	5644
663	11120	5627
664	11138	5611
665	11156	5595
666	11174	5578
667	11192	5562
668	11213	5548
669	11235	5533
670	11257	5519
671	11280	5506
672	11303	5492
673	11344	5487
674	11368	5473
675	11391	5459
676	11406	5442
677	11430	5428
678	11449	5412
679	11464	5395
680	11483	5379
681	11503	5363
682	11509	5341
683	11530	5326
684	11549	5311
685	11568	5295
686	11581	5276
687	11601	5260
688	11620	5245
689	11640	5229
690	11663	5215
691	11686	5201
692	11709	5187
693	11729	5171
694	11748	5155
695	11767	5139
696	11786	5123
697	11804	5107
698	11823	5091
699	11842	5075
700	11860	5059
701	11876	5041
702	11895	5025
703	11914	5009
704	11929	4991
705	11948	4975
706	11967	4959
707	11985	4943
708	12004	4926
709	12022	4910
710	12041	4894
711	12060	4878
712	12079	4862
713	12097	4845
714	12116	4829
715	12135	4813
716	12154	4797
717	12173	4781
718	12191	4764
719	12209	4748
720	12228	4731
721	12246	4715
722	12254	4694
723	12261	4674
724	12279	4657
725	12298	4641
726	12313	4623
727	12331	4607
728	12349	4590
729	12367	4574
730	12386	4558
731	12405	4541
732	12412	4521
733	12430	4504
734	12449	4488
735	12467	4472
736	12485	4455
737	12505	4439
738	12523	4423
739	12544	4407
740	12563	4391
741	12583	4375
742	12599	4358
743	12613	4340
