iter	Logloss
0	0.6915581511
1	0.6905980537
2	0.6895881059
3	0.6878953972
4	0.6863480753
5	0.6851806623
6	0.6841078823
7	0.6833120149
8	0.6824636343
9	0.6814885537
10	0.6803543392
11	0.6795877621
12	0.6788271159
13	0.6770963938
14	0.6763343275
15	0.6754205006
16	0.6744455717
17	0.6735468763
18	0.6728075941
19	0.67179074
20	0.670650545
21	0.6695558955
22	0.668616572
23	0.6676594213
24	0.6669678032
25	0.6660451965
26	0.665363913
27	0.6636730651
28	0.6630029825
29	0.6622287069
30	0.6615688515
31	0.6609141075
32	0.6597389133
33	0.6583731214
34	0.6577337622
35	0.6560912417
36	0.6550976378
37	0.6535479125
38	0.6522458379
39	0.6515432028
40	0.6505294117
41	0.6496762412
42	0.6487129308
43	0.647759879
44	0.6471700127
45	0.6462800507
46	0.6450517346
47	0.6440232222
48	0.6425082694
49	0.6411596593
50	0.6402948547
51	0.6391763597
52	0.6380851421
53	0.6374972286
54	0.6365269736
55	0.6357775018
56	0.6343834408
57	0.6338535125
58	0.6329499468
59	0.6322711335
60	0.6310083924
61	0.6303244527
62	0.6296516013
63	0.6291326328
64	0.627810117
65	0.6273064094
66	0.6262603173
67	0.6248848548
68	0.6243989713
69	0.6231417869
70	0.6222386876
71	0.6216997245
72	0.6205784132
73	0.6201123801
74	0.6192965833
75	0.6188380414
76	0.6181574524
77	0.6177058954
78	0.6172526858
79	0.616808141
80	0.6163641228
81	0.6156091194
82	0.6150655092
83	0.6143036728
84	0.6132324234
85	0.6127785453
86	0.6123490367
87	0.6118526069
88	0.6108249744
89	0.6104148264
90	0.6095422489
91	0.6091386033
92	0.6082745725
93	0.6078774718
94	0.6073360392
95	0.605994519
96	0.6055601098
97	0.6042545387
98	0.603105812
99	0.6026879122
100	0.6021058593
101	0.6012527597
102	0.600170674
103	0.5998020386
104	0.5992343863
105	0.5978654145
106	0.5971241262
107	0.5966309798
108	0.5957233008
109	0.5944138149
110	0.5937880024
111	0.5928428147
112	0.5925030013
113	0.5915511847
114	0.5903401843
115	0.5899615878
116	0.5888045755
117	0.5876762376
118	0.5866161532
119	0.5862946893
120	0.5859238125
121	0.5851377905
122	0.5841951973
123	0.5836681508
124	0.5825950064
125	0.581472945
126	0.5803130912
127	0.5796591489
128	0.5791276276
129	0.5788308701
130	0.5785241692
131	0.5782321279
132	0.5775331293
133	0.5768619264
134	0.5765765701
135	0.5760045441
136	0.5751782743
137	0.574900179
138	0.5744758842
139	0.5738748126
140	0.5730252902
141	0.5719711739
142	0.5715205004
143	0.5712530521
144	0.570916007
145	0.5701468638
146	0.5696593167
147	0.5693436842
148	0.5684687404
149	0.5675869015
150	0.5673369349
151	0.5670454331
152	0.5667881706
153	0.5655277739
154	0.5652859245
155	0.5650459449
156	0.564425339
157	0.5641891436
158	0.5629361259
159	0.5627038138
160	0.5617409275
161	0.5615122703
162	0.5604389073
163	0.5594918288
164	0.5584535925
165	0.5578942637
166	0.557305999
167	0.5568163556
168	0.555748235
169	0.5551249991
170	0.5538005124
171	0.5529705223
172	0.5522721939
173	0.5520462085
174	0.5517700572
175	0.5509443042
176	0.5501256292
177	0.5499226018
178	0.549176937
179	0.5489798233
180	0.5487840637
181	0.5479983313
182	0.5475917579
183	0.5471174744
184	0.5469280283
185	0.5467400435
186	0.5454124559
187	0.5448482826
188	0.5445673994
189	0.5442717678
190	0.5440172369
191	0.5438140785
192	0.5430941845
193	0.5423431214
194	0.5420017556
195	0.5416187856
196	0.5409577332
197	0.5403256256
198	0.5401571188
199	0.5395664867
200	0.5384625468
201	0.5378483844
202	0.5370851817
203	0.5366984216
204	0.5363678866
205	0.5351845899
206	0.5349987441
207	0.5348384359
208	0.5346660249
209	0.5344483853
210	0.5341223575
211	0.5332519278
212	0.5325165009
213	0.5317140128
214	0.5315147341
215	0.5313692662
216	0.5308407328
217	0.5304414507
218	0.53025638
219	0.529817895
220	0.5292280773
221	0.528632171
222	0.5276560054
223	0.5273819942
224	0.5271436856
225	0.526568248
226	0.5256484092
227	0.5253526042
228	0.5251573074
229	0.5250276168
230	0.5239008871
231	0.5230345334
232	0.5223671805
233	0.5220942266
234	0.5218707168
235	0.5204047824
236	0.5199035498
237	0.5191764438
238	0.518508744
239	0.5179494031
240	0.5177141495
241	0.5171770516
242	0.5163935418
243	0.5162792993
244	0.5154029851
245	0.5149898083
246	0.5148266275
247	0.514716201
248	0.5141955785
249	0.5134935478
250	0.5128571603
251	0.5124782368
252	0.5120631183
253	0.5115074814
254	0.5111358164
255	0.5110323612
256	0.5103297245
257	0.509595834
258	0.5091922452
259	0.5088258613
260	0.5087264371
261	0.5080202211
262	0.5071568164
263	0.5064535085
264	0.5058711501
265	0.5054898591
266	0.5048318461
267	0.5039990827
268	0.5039064418
269	0.5034616948
270	0.5025328371
271	0.5017959824
272	0.501260131
273	0.5004701028
274	0.4997712029
275	0.4996606866
276	0.4989632859
277	0.4988327653
278	0.4987407194
279	0.4983637921
280	0.497312814
281	0.4966186385
282	0.4963496324
283	0.495792689
284	0.4950200914
285	0.4945033921
286	0.4942869477
287	0.4937792474
288	0.4933841627
289	0.4925965971
290	0.4920036327
291	0.4918223311
292	0.4913678736
293	0.4911031151
294	0.4906558813
295	0.4899397134
296	0.489439171
297	0.488602527
298	0.4875695001
299	0.4869279843
300	0.4859544252
301	0.4852221995
302	0.4847389514
303	0.4844523863
304	0.4841956111
305	0.4837454906
306	0.4831534828
307	0.482918295
308	0.4827786464
309	0.4823692091
310	0.4822207369
311	0.4816013925
312	0.481032459
313	0.4804869067
314	0.4797458419
315	0.479312494
316	0.4787557639
317	0.4782498422
318	0.4776427407
319	0.4771552536
320	0.4765713332
321	0.4763535651
